time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
8.5122,48867.0,6242527.0,1.05249941,1.00440681,0.04809276,0.00925266,0.28667086,0.49035659,0.42896146,36.05,40.94,5740.8,4764.1
8.9771,64422.0,6306949.0,1.03738129,0.98922414,0.04815713,0.00819107,0.30415237,0.48488331,0.48986846,37.63,40.94,7176.3,4780.5
8.3920,33599.0,6340548.0,1.04331338,0.99500763,0.04830562,0.01133705,0.27553731,0.50032157,0.51020151,34.53,40.94,4003.7,4775.6
8.2305,44458.0,6385006.0,1.04931796,1.00144291,0.04787501,0.00905591,0.21697515,0.44804037,0.48368105,35.60,40.94,5401.6,4779.4
8.6118,49393.0,6434399.0,1.05364454,1.00567770,0.04796684,0.00759224,0.23246233,0.49774933,0.34451762,36.10,40.94,5735.5,4785.5
8.3441,52224.0,6486623.0,1.06008184,1.01209927,0.04798255,0.01042135,0.29681450,0.44830424,0.33381477,36.39,40.94,6258.8,4794.6
8.4602,55034.0,6541657.0,1.02363265,0.97568405,0.04794873,0.00842867,0.21654955,0.39590314,0.39390028,36.68,40.94,6505.1,4805.2
8.6455,47482.0,6589139.0,1.04739797,0.99945605,0.04794193,0.00761704,0.21558408,0.47336617,0.34286520,35.91,40.94,5492.1,4809.5
8.3846,33599.0,6622738.0,1.07980311,1.03198004,0.04782309,0.00749924,0.38187456,0.50032157,0.33812580,34.53,40.94,4007.2,4804.7
8.4366,33600.0,6656338.0,1.02342153,0.97521198,0.04820963,0.00632187,0.27581167,0.50032234,0.36958539,34.53,40.94,3982.6,4798.1
8.2646,45187.0,6701525.0,1.03873050,0.99069738,0.04803317,0.00905478,0.24575725,0.45302171,0.36240634,35.68,40.94,5467.6,4802.1
8.6480,64008.0,6765533.0,1.05296159,1.00489032,0.04807138,0.00819379,0.30281821,0.47930709,0.36820662,37.59,40.94,7401.5,4818.1
